code;name;purchasePrice
SWP2W;Chytrá zeď bílá - 2 m²;1240,00
SWP6W;Chytrá zeď bílá - 6 m²;2354,00
SWPK-18WHITE;Chytrá zeď bílá - 18 m²;6529,00
SWP2C;Chytrá zeď průhledná - 2 m²;1240,00
SWPPW;Podkladová barva PRIMER bílá - 6 m²;331,00
SWPPW24;Podkladová barva PRIMER bílá - 24 m²;932,00
SWPPC;Podkladová barva PRIMER průhledná - 6 m²;414,00
KORESCS250;Čistící sprej Kores 250ml;76,96
KORESPOP4;Fixy Kores 4ks;47,72
SWP6C;Chytrá zeď průhledná - 6 m²;2354,00
SWPK-18CLEAR;Chytrá zeď průhledná - 18 m²;6529,00
SSK-PROWBP;Chytrá zeď polomatná bílá - 6 m²;2574,00
SWPMG1;Magnetická barva 2 m²;537,24
SSC-MAG3;Magnetická barva 3 m²;860,00
SSC-SUMAGP6;Super magnetická barva 6 m²;1860,00
SWPMG5;Magnetická barva 10 m²;2344,00
SWPC-MAGPLAST10;Magnetická stěrka - 6 m²;2030,00
KORESPOP10;Fixy Kores 10ks;119,65
KORESPOP4W;Fixy Kores 4ks - tenké;42,11
SWPA-4EDD;Fixy Edding 660 4ks;131,00
EDD4095;Bílý křídový fix Edding 1ks;63,00
SWPA-SPRAY250;Čistící sprej Smarter Surfaces 125 ml;100,00
CSPRO;Čistící sprej Pro 125 ml;165,00
MG-KT-18-05-N;Neodymový magnet kotouč;18,63
MG-F;Magnetické figurky barevné 10ks;83,49
SWPA-NEOMAG-10PACK;Magnetické figurky stříbrné 10 ks;227,00
MT01P205Z;MT washi páska 15 mm, gold;60,50
MT01D290Z;MT washi páska 15 mm, shimasankakku blue;48,40
MT01P206Z;MT washi páska 15 mm, silver;66,55
MT01P304Z;MT washi páska 15 mm, pastel pink;60,50
SSC-WCADH3;Lepidlo na vinylové tapety 3 kg/ 12 m2;653,00
SSC-WCADH;Lepidlo na vinylové tapety 6 kg/ 24 m2;1045,00
SWPBP;Tabulová barva 6 m²;384,00
SWPWS-10;Chytrá fólie - 10 ks;266,00
SWPWS-20;Chytrá fólie - 20 ks;399,00
SSK-OFDRYC;Samolepicí průhledná popisovatelná tapeta;4631,00
SSK-OFDRYC-2;Samolepicí průhledná popisovatelná tapeta;1021,00
SSK-OFDRYC-5;Samolepicí průhledná popisovatelná tapeta;2916,00
SSK-OFDRY;Samolepicí bílá popisovatelná tapeta;4631,00
SSK-OFDRY-2;Samolepicí bílá popisovatelná tapeta;1210,00
SSK-OFDRY-5;Samolepicí bílá popisovatelná tapeta;2916,00
SSK-OFPRO;Samolepicí projekční popisovatelná tapeta;5146,00
SSK-OFPRO-2;Samolepicí projekční popisovatelná tapeta;1353,00
SSK-OFPRO5;Samolepicí projekční popisovatelná tapeta;3259,00
SWPC-DECOVERING;Popisovatelná tapeta;5454,37
SWPC-DECOVERING20;Popisovatelná tapeta;1756,51
SWPC-DECOVERING5;Popisovatelná tapeta;3430,35
SWPC-DECOVER2-SET2;Matná projekční popisovatelná tapeta;2029,17
SWPC-DECOVER2-SET5;Matná projekční popisovatelná tapeta;4287,94
SWPC-DECOVERING2;Matná projekční popisovatelná tapeta;6826,52
SWPC-DECOVERING21;2v1 lesklá popisovatelná magnetická tapeta;10943,00
SWPC-DECOVERING212;2v1 lesklá popisovatelná magnetická tapeta;3113,63
SWPC-DECOVERING215;2v1 lesklá popisovatelná magnetická tapeta;6689,00
SWPC-DECOVERING31;3v1 matná projekční popisovatelná magnetická tapeta;12658,00
SWPC-DECOVERING312;3v1 matná projekční popisovatelná magnetická tapeta;3710,76
SWPC-DECOVERING315;3v1 matná projekční popisovatelná magnetická tapeta;7375,00
SSK-PROSHORT;Projekční nátěr - bílý;2405,00
SSK-PROPRO;Projekční nátěr Pro - bílý;3010,00
SSK-PROHIGHCONTRAST;Projekční nátěr vysoce kontrastní - světle šedý;3161,00
SSK-PROBLACK;Projekční nátěr černý;3161,00
SSK-PROOUTDOOR4-5;Projekční nátěr venkovní - bílý;3161,00
SSK-PROCLEAR;Projekční nátěr průhledný;2859,00
SSK-PROFLOOR;Projekční nátěr podlahový - bílý;3010,00
SSK-PROINTERACTIVE;Projekční nátěr interaktivní - bílý;3161,00
SSK-PROGAMERULTRA;Ultra kontrastní projekční nátěr - tmavě šedý;3312,00
SSK-PROALR;Projekční nátěr pro světlé místnosti -světle šedý;3010,00
SSK-GREENSPRO;Chytrá zeď: Barva pro zelené pozadí (green screen);2632,00
MU;Mikrovláknový hadřík;35,82
TISK-1;Leták - návod Chytrá zeď;
TISK-4;Leták - návod magnetická barva;
TISK-9;Leták - návod magnetická stěrka;
TISK-6;Leták - návod projekční nátěr;
TISK-5;Leták - návod tabulový nátěr;
TISK-15;Leták - návod Projekční popisovatelná tapeta;
TISK-16;Leták - návod Samolepicí tapeta;
TISK-18;Leták - návod magnetická Chytrá zeď;
TISK-17;Leták - návod lepidlo;
MG-KT-10KS;Neodymový magnet kotouč - sada 10 kusů;186,30
TISK-20;Leták - návod - projekční nátěr zelený;
TISK-21;Tisk - leták - Projekční nátěr černý;
TISK-22;Tisk - leták - Projekční nátěr venkovní;
TISK-23;Leták - návod - Chytrá zeď polomatná bílá;
TISK-24;Leták - návod - projekční nátěr bílý PROSHORT;
TISK-25;Leták - návod - projekční nátěr interaktivní;
TISK-26;Leták-návod-projekční nátěr podlahový;
TISK-27;Leták-návod-Projekční barva potlačující okolní světlo;
TISK-29;Leták-návod-Projekční nátěr průhledný;
TISK-28;Leták-návod-Projekční barva Pro;
TISK-31;Leták-návod-projekční nátěr ultra;
TISK-30;Leták-návod-projekční nátěr vysoce kontrastní;
MP-WHITE;Magnetický držák na fixy, sprej a pomůcky;70,18
SSA-MARKER8;Prémiové fixy Artline 8ks;579,35
MP-WHITE2;Magnetický držák na fixy, sprej a pomůcky s háčkem;114,22
SSA-ERASER;Zelený mikrovláknový hadřík;65,56
TISK-32;Leták -příručka užívatele Chytrá zeď;
TISK-33;Leták -příručka užívatele Tapeta;
SWPA-NEOMAG-1;Magnetická figurka stříbrná 1 ks;227,00
MST-MKT185-NV;MT washi páska 15 mm, navy stripes;60,50
MTEX1P158Z;MT washi páska 15 mm, cheers;60,50
MT01D219Z;MT washi páska 15 mm, slash green;60,50
MT01D375Z;MT washi páska 15 mm, stripe blue;60,50
MT01P208RZ;MT washi páska 15 mm, matte white;60,50
MT01D506Z;MT washi páska 15 mm, stick;60,50
MT01KID03Z;MT washi páska 15 mm, colorful border;60,50
MTPAPI03Z;"MT washi páska 15 mm, papier tigre ""Le memory""";60,50
MTMATT04Z;MT washi páska 20 mm, Cup Of Therapy animals;60,50
MT0P191RZ;MT washi páska 15 mm, baby blue;60,50
MTLANDDO2Z;MT washi páska 15 mm, island universe Flags;60,50
MT01P512Z;MT washi páska 15 mm, matte yellow;60,50
MTSOU12Z;MT washi páska 7 mm, higashiyama golden field;60,50
MT01P183Z;MT washi páska 15 mm, blue;60,50
MST-MKT185-NV15;MT washi páska 15 mm, rose  multistripes;60,50
MTBLUE03Z;MT washi páska 24 mm, bluebellgray Pedro;60,50
MTFC1P07Z;MT washi páska 15 mm, fluorescent purple;60,50
MT01D388Z;MT washi páska 15 mm, border kiwi;60,50
MTSLIM22Z;MT washi páska 6 mm, slim matte black;60,50
MTBLUE01Z;MT washi páska 24 mm, bluebellgray Rothesay;60,50
MT01P189Z;MT washi páska 15 mm, wakanae;60,50
TISK-2;Nálepka Chytrá zeď;
