Datum;ID;Množ.
04.09.2023 13:41:47;TISK-6;-1,00
04.09.2023 13:41:47;SSK-PROSHORT;-2,00
06.09.2023 09:19:52;KORESPOP10;-1,00
06.09.2023 09:19:52;KORESPOP4;-1,00
06.09.2023 09:19:52;KORESCS250;-1,00
06.09.2023 09:19:52;MG-KT-18-05-N;-30,00
06.09.2023 09:19:52;SWPA-NEOMAG-10PACK;-1,00
06.09.2023 09:19:52;MU;-1,00
06.09.2023 13:50:18;SSK-OFPRO-2,5;-1,00
07.09.2023 12:24:27;SSK-OFDRY;-2,00
07.09.2023 14:02:21;SWPPC;-1,00
08.09.2023 08:04:50;MT01D290Z;-1,00
08.09.2023 08:04:50;KORESPOP4W;-1,00
08.09.2023 08:04:50;MT01P205Z;-1,00
08.09.2023 08:04:50;MG-F;-3,00
08.09.2023 08:04:50;MU;-4,00
08.09.2023 08:04:50;KORESPOP10;-2,00
08.09.2023 08:04:50;MT01P206Z;-1,00
08.09.2023 08:04:50;KORESCS250;-2,00
08.09.2023 14:59:35;KORESPOP4;-1,00
08.09.2023 14:59:35;KORESCS250;-1,00
08.09.2023 14:59:35;SWP6W;-1,00
08.09.2023 14:59:35;SWPPW;-1,00
12.09.2023 07:48:05;MG-F;-3,00
12.09.2023 07:48:05;SWPC-MAGPLAST10;-1,00
12.09.2023 11:44:54;SWPWS-20;-1,00
13.09.2023 10:59:33;SSC-SUMAGP6;-1,00
13.09.2023 10:59:33;SWPPW;-1,00
13.09.2023 10:59:33;SWP2W;-2,00
13.09.2023 11:03:50;KORESCS250;-5,00
13.09.2023 11:08:20;SWPWS-10;-2,00
14.09.2023 16:09:34;MG-KT-18-05-N;-50,00
15.09.2023 15:35:55;SWPC-DECOVER2-SET5;-1,00
15.09.2023 15:35:55;SWPC-MAGPLAST10;-1,00
15.09.2023 15:35:55;TISK-15;-1,00
18.09.2023 09:04:15;SWP6W;-2,00
18.09.2023 09:04:15;SWPK-18WHITE;-1,00
18.09.2023 09:04:15;SWP2W;-1,00
19.09.2023 08:39:55;SWP6W;-1,00
19.09.2023 08:39:55;SWPPW;-2,00
19.09.2023 08:39:55;MG-KT-18-05-N;-5,00
19.09.2023 08:39:55;SSC-SUMAGP6;-1,00
19.09.2023 08:39:55;KORESPOP4;-1,00
19.09.2023 08:39:55;KORESCS250;-1,00
19.09.2023 15:20:07;TISK-15;-1,00
19.09.2023 15:20:07;SWPC-DECOVERING;-1,00
20.09.2023 08:18:41;KORESPOP4;-2,00
20.09.2023 08:18:41;KORESCS250;-8,00
20.09.2023 08:18:41;MU;-5,00
20.09.2023 08:34:25;KORESPOP4;-3,00
20.09.2023 08:34:25;KORESCS250;-1,00
20.09.2023 08:34:25;MG-KT-18-05-N;-3,00
20.09.2023 08:34:25;SSK-OFDRYC-2,5;-1,00
20.09.2023 08:34:25;MG-F;-2,00
20.09.2023 10:46:35;KORESCS250;-1,00
20.09.2023 10:46:35;SWPPW;-2,00
