ID;Volné;Posl.příjem
SWP6W;23,00;03.12.2024
SWP6C;6,00;22.09.2024
SWP2W;5,00;03.12.2024
SWP2C;4,00;30.09.2024
SWP34W;0,00;04.09.2017
SWP34C;0,00;18.01.2017
SWPPW;37,00;03.12.2024
SWPPC;4,00;01.09.2023
SWPMG1;6,00;30.07.2024
SWPMG5;2,00;15.11.2024
CSPRO;6,00;18.07.2024
MU;160,00;28.11.2024
KORESPOP4;23,00;02.09.2024
KORESCS250;17,00;02.09.2024
KORESNOTES1;0,00;12.05.2015
KORESNOTES2;0,00;12.05.2015
MGH;0,00;15.10.2019
MG-KS-10-N;0,00;27.10.2016
MG-KV-20-20-03-N;0,00;20.05.2015
MG-F;26,00;15.11.2024
LMTZ1;0,00;18.09.2017
EDD4095;7,00;08.03.2024
MT01P208Z;0,00;26.08.2021
MT01P207Z;0,00;26.08.2021
MT01P206Z;2,00;21.11.2023
MT01P197Z;0,00;12.05.2015
MT01P194Z;0,00;24.10.2017
MT01P209Z;0,00;12.05.2015
MT01P211Z;0,00;17.03.2016
MTSLIM14Z-G;0,00;26.09.2019
MTSLIM14Z-B;0,00;15.01.2019
MTSLIM14Z-R;0,00;17.03.2016
MTSLIM21Z-D;0,00;17.04.2019
MTSLIM21Z-S;0,00;26.01.2021
MTSLIM21Z-BW;0,00;15.02.2019
MTCA5041Z;0,00;12.05.2015
MTCA5020Z;0,00;29.07.2015
MTCA5004Z;0,00;29.07.2015
TISK-1;5,00;21.08.2024
TISK-2;57,00;27.11.2024
SWPSAM;0,00;19.07.2024
TISK-3;0,00;10.01.2018
TISK-4;613,00;06.10.2020
999;0,00;03.03.2016
LM-SET4-CHF;0,00;22.12.2016
STOJ;0,00;16.09.2015
SWPTAB;0,00;
SWPTABPR;0,00;21.08.2015
SWPC;0,00;16.09.2015
MALV;0,00;09.10.2015
MALV2;0,00;09.10.2015
VALR;0,00;26.10.2015
VALR2;0,00;04.01.2019
LAHV;0,00;14.10.2015
LAHV2;0,00;14.10.2015
BRB;0,00;14.10.2015
SWPPR;0,00;22.11.2015
MT01D290Z;5,00;21.11.2023
MT01D239Z;0,00;09.04.2018
SWPBP;8,00;22.09.2024
SWPPP;0,00;14.04.2023
SWPWS-20;76,00;01.09.2023
SWPWS-10;15,00;22.09.2024
SWPMGW;0,00;05.03.2019
TISK-5;329,00;06.10.2020
TISK-6;295,00;06.10.2020
TISK-7;0,00;04.01.2019
SWPA-SPRAY250;9,00;08.08.2023
SWPA-4EDD;19,00;18.01.2017
SWPA-NEOMAG-10PACK;10,00;18.07.2024
SWPC-PRIMERMAG;0,00;03.09.2018
SWPC-WBSHEET10;0,00;23.05.2016
SWPC-WBSHEET20;0,00;23.05.2016
SWPK-18WHITE;3,00;03.12.2024
SWPK-18CLEAR;5,00;18.10.2023
SWPC-PRIMERMAG2;0,00;07.01.2019
TISK-8;0,00;10.01.2018
LM-SET5-CHF;0,00;10.05.2019
LETAK-9;0,00;10.08.2017
SWPPW24;5,00;03.12.2024
MG-KV-15-15-08-N;0,00;12.01.2018
MG-KT-18-05-N;101,00;17.11.2024
MG-FB;0,00;13.11.2017
SWPC-MAGPLAST10;19,00;02.10.2024
TISK-9;12,00;28.11.2023
SWPC-DECOVERING;2,00;09.04.2024
SWPA-WHITEBLUEDOTS;0,00;15.02.2017
SWPA-WHITE&BLUESTRIPES;0,00;15.02.2017
TISK-10;0,00;18.01.2017
TISK-11;0,00;18.01.2017
TISK-12;0,00;21.01.2020
TISK-13;0,00;21.01.2020
Leták - 14;0,00;18.01.2017
Leták - 15;0,00;18.01.2017
Leták - 16;0,00;18.01.2017
Leták - 17;0,00;18.01.2017
Leták- 18;0,00;21.01.2020
TISK-14;928,00;06.10.2020
SWPC-DECOVERING2;1,00;10.05.2024
TISK-15;471,00;06.10.2020
KORESPOP10;2,00;14.03.2024
KORESPOP6;0,00;29.01.2018
SWPA-SPONGE;0,00;12.07.2018
MT01D222Z;0,00;06.09.2017
SWPC-DECOVERING2,5;0,00;18.10.2023
BALMBA;0,00;07.03.2024
BALVBA;0,00;24.04.2024
BAL18BA;0,00;28.09.2022
BALMPA;0,00;21.02.2024
BALVPA;0,00;05.09.2022
BALMBMGA;0,00;16.05.2024
BALVBMG2.3A;0,00;29.12.2022
BALMPMGA;0,00;13.03.2024
BALVPMGA;0,00;17.02.2023
MTSLIM14Z-BL;0,00;17.04.2019
